"성별","직업별",2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"계","계",26409,26725,26822,27123,26904,27273,28089,28416,28576,28769
"계","* 관리자·전문가(1,2)",5620,5736,5857,5963,5877,5979,6317,6640,6828,7062
"계","1 관리자",335,313,371,408,395,393,436,475,440,415
"계","2 전문가 및 관련 종사자",5286,5424,5487,5555,5481,5586,5880,6165,6388,6647
"계","3 사무 종사자",4563,4666,4766,4750,4690,4750,4859,4967,5052,5162
"계","* 서비스·판매 종사자(4,5)",6010,6037,6005,6146,5943,5839,5950,6086,6038,6100
"계","4 서비스 종사자",2888,2946,2969,3116,3046,3073,3269,3465,3526,3604
"계","5 판매 종사자",3121,3091,3037,3030,2897,2766,2681,2621,2512,2496
"계","6 농림어업 숙련 종사자",1186,1198,1266,1332,1383,1396,1463,1481,1450,1355
"계","* 기능·기계조작·조립·단순노무 종사자(7~9)",9031,9088,8928,8931,9012,9309,9501,9242,9208,9090
"계","7 기능원 및 관련 기능종사자",2396,2384,2347,2372,2336,2406,2403,2311,2261,2231
"계","8 장치,기계조작 및 조립종사자",3185,3158,3085,3015,2951,2965,3039,2988,2968,2942
"계","9 단순노무 종사자",3449,3546,3497,3545,3725,3938,4060,3942,3978,3917
"남자","계",15241,15368,15372,15463,15381,15548,15928,15952,15924,15943
"남자","* 관리자·전문가(1,2)",3070,3074,3154,3184,3189,3180,3354,3554,3682,3790
"남자","1 관리자",302,274,317,345,334,329,373,398,363,340
"남자","2 전문가 및 관련 종사자",2768,2800,2837,2838,2855,2850,2982,3156,3319,3450
"남자","3 사무 종사자",2390,2453,2451,2398,2313,2322,2346,2392,2403,2457
"남자","* 서비스·판매 종사자(4,5)",2509,2500,2479,2553,2464,2403,2423,2393,2322,2296
"남자","4 서비스 종사자",967,990,984,1044,1016,1053,1148,1187,1153,1121
"남자","5 판매 종사자",1542,1510,1495,1509,1448,1349,1274,1206,1169,1175
"남자","6 농림어업 숙련 종사자",731,757,784,821,861,879,913,924,893,859
"남자","* 기능·기계조작·조립·단순노무 종사자(7~9)",6541,6585,6505,6508,6554,6764,6892,6690,6623,6541
"남자","7 기능원 및 관련 기능종사자",2072,2053,2028,2071,2053,2115,2103,2038,2012,1981
"남자","8 장치,기계조작 및 조립종사자",2789,2765,2703,2653,2617,2634,2687,2632,2650,2648
"남자","9 단순노무 종사자",1681,1767,1773,1784,1884,2015,2102,2019,1961,1912
"여자","계",11168,11356,11450,11660,11523,11725,12161,12464,12652,12826
"여자","* 관리자·전문가(1,2)",2550,2662,2703,2780,2688,2800,2963,3087,3146,3272
"여자","1 관리자",33,39,54,63,62,64,64,78,77,75
"여자","2 전문가 및 관련 종사자",2518,2624,2650,2717,2626,2736,2899,3009,3069,3197
"여자","3 사무 종사자",2173,2213,2315,2353,2377,2428,2513,2575,2649,2705
"여자","* 서비스·판매 종사자(4,5)",3500,3537,3527,3593,3480,3436,3528,3693,3716,3804
"여자","4 서비스 종사자",1922,1956,1985,2072,2030,2020,2121,2278,2373,2482
"여자","5 판매 종사자",1579,1581,1542,1522,1449,1416,1407,1415,1343,1321
"여자","6 농림어업 숙련 종사자",455,441,482,511,521,517,550,557,557,497
"여자","* 기능·기계조작·조립·단순노무 종사자(7~9)",2490,2503,2424,2423,2458,2545,2608,2552,2584,2549
"여자","7 기능원 및 관련 기능종사자",325,331,318,301,283,291,300,273,250,250
"여자","8 장치,기계조작 및 조립종사자",396,394,381,362,334,332,351,356,318,294
"여자","9 단순노무 종사자",1768,1778,1724,1761,1841,1923,1957,1923,2017,2005
