"직업별",2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"계",28857,28801,28842,28847,28821,28041,25299,25897,26178,26409,26725,26822,27123,26904,27273,28089,28416,28576
"* 관리자·전문가(1,2)",6869,6863,6855,6951,6979,7005,5376,5534,5547,5625,5739,5861,5965,5876,5979,6321,6643,6831
"1 관리자",430,424,413,435,451,469,409,404,358,335,313,371,408,395,393,436,475,440
"2 전문가 및 관련 종사자",6439,6440,6443,6516,6528,6536,4968,5129,5189,5291,5427,5491,5557,5480,5585,5885,6168,6391
"3 사무 종사자",5058,5058,5075,5037,5032,5035,4271,4374,4446,4558,4663,4762,4749,4691,4751,4854,4965,5048
"* 서비스·판매 종사자(4,5)",6087,6084,6049,6032,6053,6011,5719,5932,5942,6010,6037,6005,6146,5943,5839,5950,6086,6038
"4 서비스 종사자",3568,3529,3539,3562,3563,3533,2645,2779,2813,2888,2946,2969,3116,3046,3073,3269,3465,3526
"5 판매 종사자",2519,2555,2511,2470,2490,2478,3074,3154,3129,3121,3091,3037,3030,2897,2766,2681,2621,2512
"6 농림어업 숙련 종사자",1565,1572,1580,1565,1500,1273,1420,1357,1243,1186,1198,1266,1332,1383,1396,1463,1481,1450
"* 기능·기계조작·조립·단순노무 종사자(7~9)",9279,9224,9283,9263,9258,8718,8513,8701,9000,9031,9088,8928,8931,9012,9309,9501,9242,9208
"7 기능원 및 관련 기능종사자",2197,2235,2277,2280,2291,2259,2254,2291,2375,2396,2384,2347,2372,2336,2406,2403,2311,2261
"8 장치,기계조작 및 조립종사자",2993,2972,2962,2940,2938,2938,3038,3111,3187,3194,3171,3098,3026,2957,2979,3053,3003,2983
"9 단순노무 종사자",4089,4017,4043,4043,4030,3522,3222,3299,3437,3440,3533,3483,3534,3718,3925,4045,3927,3964
