year,resting_youth_thousand,employed_youth_20_29_thousand,unfilled_workers,resting_to_employed_pct,youth_inactivity_unfilled_multiple,business_size_basis,validity_note
2015,273,3619,90580,7.54,3.01,전규모(5인이상),5인 이상 기준
2016,245,3664,95282,6.69,2.57,전규모(5인이상),5인 이상 기준
2017,270,3660,85052,7.38,3.17,전규모(5인이상),5인 이상 기준
2018,283,3699,83911,7.65,3.37,전규모(5인이상),5인 이상 기준
2019,332,3747,75909,8.86,4.37,전규모(5인이상),5인 이상 기준
2020,415,3601,67188,11.52,6.18,전규모(5인이상),5인 이상 기준
2021,393,3706,137119,10.6,2.87,전규모(1인이상),주의: 2021년 이후 업로드 파일은 1인 이상 기준. 5인 이상 통일 분석이면 재다운로드 권장.
2022,362,3818,192334,9.48,1.88,전규모(1인이상),주의: 2021년 이후 업로드 파일은 1인 이상 기준. 5인 이상 통일 분석이면 재다운로드 권장.
2023,371,3736,140749,9.93,2.64,전규모(1인이상),주의: 2021년 이후 업로드 파일은 1인 이상 기준. 5인 이상 통일 분석이면 재다운로드 권장.
2024,389,3612,123080,10.77,3.16,전규모(1인이상),주의: 2021년 이후 업로드 파일은 1인 이상 기준. 5인 이상 통일 분석이면 재다운로드 권장.
2025,408,3442,101315,11.85,4.03,전규모(1인이상),주의: 2021년 이후 업로드 파일은 1인 이상 기준. 5인 이상 통일 분석이면 재다운로드 권장.
