"행정구역(시군구)별","연령별",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"행정구역(시군구)별","연령별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국","20세",707868,685246,670955,639161,619035,638108,557948,492919,491415,471844,434325
"전국","21세",713497,707800,685001,670613,638851,618752,637555,557252,492547,491115,471552
"전국","22세",709734,713499,707489,684673,670285,638595,618217,636829,556848,492239,490790
"전국","23세",724581,709775,713246,707318,684354,670075,638093,617553,636473,556481,491854
"전국","24세",701903,724741,709736,713137,707120,684146,669509,637288,617157,636135,556150
"전국","25세",639594,702099,724578,709738,712882,706819,683379,668523,636857,616775,635753
"전국","26세",630813,640053,702166,724841,709730,712801,706235,682511,668222,636549,616481
"전국","27세",625667,631162,640303,702366,724896,709626,712085,705293,682210,667939,636192
"전국","28세",617519,626102,631234,640669,702371,724866,708889,711089,704975,681868,667594
"전국","29세",627872,617951,626259,631457,640832,702365,724013,707924,710782,704711,681551
