"연령계층별","활동상태별",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"계","쉬었음",1594,1628,1736,1855,2092,2374,2398,2277,2351,2467,2555
"15 - 29세","쉬었음",307,269,299,313,360,448,418,390,401,421,428
"15 - 19세","쉬었음",34,24,29,31,29,33,25,28,29,33,20
"20 - 29세","쉬었음",273,245,270,283,332,415,393,362,371,389,408
"30 - 39세","쉬었음",171,176,182,183,213,254,282,260,273,302,309
"40 - 49세","쉬었음",198,200,188,196,223,275,275,263,265,277,270
"50 - 59세","쉬었음",355,363,372,373,426,454,415,386,376,390,404
"60세이상","쉬었음",564,620,696,789,870,944,1008,978,1037,1077,1144
"15 - 64세","쉬었음",1307,1309,1358,1426,1620,1850,1844,1741,1758,1835,1847
"15 - 24세","쉬었음",188,160,184,188,200,217,197,189,205,205,199
