year,youth_inactive_thousand,exam_prep_thousand,not_exam_prep_thousand,exam_prep_ratio
2015,5099.0,622.0,4475.0,12.198470288291823
2016,5004.0,644.0,4356.0,12.86970423661071
2017,4892.0,699.0,4191.0,14.288634505314798
2018,4789.0,626.0,4162.0,13.07162246815619
2019,4683.0,714.0,3968.0,15.246636771300448
2020,4738.0,804.0,3934.0,16.969185310257494
2021,4488.0,859.0,3630.0,19.13992869875223
2022,4170.0,704.0,3466.0,16.882494004796165
2023,4164.0,634.0,3530.0,15.225744476464936
2024,4066.0,565.0,3501.0,13.895720609936054
2025,4030.0,585.0,3445.0,14.516129032258066
