year,y1_2_thousand,y2_3_thousand,m3_6_thousand,under_3m_thousand,over_3y_thousand,m6_12_thousand,avg_first_job_months,first_job_total_thousand,first_job_over_1y_share
2015,440.0,236.0,497.0,1950.0,325.0,341.0,10.0,3789.0,26.418580100290313
2016,420.0,283.0,511.0,1998.0,343.0,355.0,10.0,3910.0,26.751918158567772
2017,465.0,258.0,542.0,2006.0,389.0,352.0,11.0,4012.0,27.716849451645064
2018,468.0,282.0,487.0,2011.0,368.0,438.0,11.0,4054.0,27.577701036013814
2019,476.0,266.0,522.0,2015.0,387.0,405.0,11.0,4071.0,27.73274379759273
2020,471.0,251.0,532.0,1950.0,309.0,449.0,10.0,3962.0,26.02221100454316
2021,464.0,267.0,556.0,1874.0,323.0,470.0,10.0,3954.0,26.65655032878098
2022,528.0,275.0,482.0,1967.0,358.0,409.0,11.0,4019.0,28.88778303060463
2023,507.0,267.0,457.0,1890.0,324.0,420.0,10.0,3865.0,28.408796895213456
2024,491.0,255.0,412.0,1750.0,357.0,406.0,12.0,3671.0,30.04630890765459
2025,496.0,257.0,400.0,1608.0,346.0,401.0,11.0,3508.0,31.328392246294186
